p,-0.221100489948544,-0.48905380271605586,-0.20639567611236279,-0.43227104219269191,-0.15766171513794794,-0.43023518703931896,-0.2091502680964305,-0.43197399169520806,-0.14918520447789171,-0.4351979074487673,-0.20639601092028059,-0.43183699855788182
H,0.042563064226748965,0,0,0,0,0,0,0,0,0,0,0
H,0,34.394464053565613,0,0,0,0,0,0,0,0,0,0
H,0,0,3066.1943654379997,0,0,0,0,0,0,0,0,0
H,0,0,0,19099.244914242568,0,0,0,0,0,0,0,0
H,0,0,0,0,0.039168451731925784,0,0,0,0,0,0,0
H,0,0,0,0,0,34.419236947331505,0,0,0,0,0,0
H,0,0,0,0,0,0,3065.7788518287102,0,0,0,0,0
H,0,0,0,0,0,0,0,19097.37188319183,0,0,0,0
H,0,0,0,0,0,0,0,0,0.039463945913406441,0,0,0
H,0,0,0,0,0,0,0,0,0,34.419080589418613,0,0
H,0,0,0,0,0,0,0,0,0,0,3066.1098048266308,0
H,0,0,0,0,0,0,0,0,0,0,0,19098.952311900044
