8.000000000000000444e-01,-2.000000000000000111e-01,-2.000000000000000111e-01,-2.000000000000000111e-01
8.018982428138239360e-01,-1.438185754445527875e-01,-2.904288189046040358e-01,2.640177820305570355e-01
7.337635157805972863e-01,2.416334450737140926e-01,-4.879126621900841121e-01,4.106823560998471012e-01
7.438839663404146485e-01,2.528179080110278809e-01,-6.074091223290052355e-01,4.910882816864738376e-01
7.310461507348624544e-01,2.414229818710182385e-01,-7.448492931702865860e-01,5.585169564668218678e-01
1.081126619183284454e+00,-1.040317028486719558e-01,4.644037709701333561e-01,-7.039490404751322927e-01
1.124436577389078318e+00,3.271797054836904639e-01,5.881602217060717397e-01,7.797442632184736766e-01
7.004807269050908891e-01,3.055434607600074903e-01,6.057893430664621492e-01,8.810820571892061803e-01
8.894154547655716003e-01,4.145662801932697983e-02,6.944629663119614715e-01,-1.093226617779007315e+00
8.388246834291650522e-01,3.679548159791211637e-01,9.431999437595751656e-01,1.298155322346561391e+00
4.426232215889538413e-01,1.354066129857582346e-01,-2.070297910872215486e+00,-1.608413766349922280e+00
4.127976480754813604e-01,4.316563768434118487e-01,-2.352939728775535144e+00,-1.849256267837900758e+00
6.494442793784926948e-01,1.733316388103608441e-01,1.553044026460134841e+00,-2.156884948400950019e+00
2.148475226873948207e-01,2.305440596989821733e-01,-2.569526278604755021e+00,-2.134147308721256131e+00
-2.609349060557319966e-03,1.916548585405991600e-01,-2.825420633242364588e+00,-2.123575324835456080e+00
-3.811662325184822508e-02,2.759576080007128951e-01,-2.434592308072539790e+00,-1.805567146214538843e+00
