1.000000000000000000e+00,1.542119998703128658e+02,1.111999964714050293e+01,1.386798603990678380e+01
2.000000000000000000e+00,1.570269996591378003e+02,1.264400011301040649e+01,1.241909192151622676e+01
3.000000000000000000e+00,1.324710001426865347e+02,1.113100028038024902e+01,1.190108676721380476e+01
4.000000000000000000e+00,1.564759995744680054e+02,1.101099950075149536e+01,1.421088063474969765e+01
5.000000000000000000e+00,1.384619999953429215e+02,1.129100009799003601e+01,1.226304125353707164e+01
6.000000000000000000e+00,1.311079995502950624e+02,1.120000034570693970e+01,1.170607102709152514e+01
7.000000000000000000e+00,1.294149997193017043e+02,1.100199985504150391e+01,1.176286142741578011e+01
8.000000000000000000e+00,1.291650005441624671e+02,1.102099999785423279e+01,1.171989842748486055e+01
9.000000000000000000e+00,1.614149996385094710e+02,1.100200036168098450e+01,1.467142286240090954e+01
1.000000000000000000e+01,1.294150006287964061e+02,1.102099955081939697e+01,1.174258287844450344e+01
1.100000000000000000e+01,1.304170000366866589e+02,1.108999964594841003e+01,1.175987413888988264e+01
1.200000000000000000e+01,1.301959991906187497e+02,1.102100008726119995e+01,1.181344688864560410e+01
1.300000000000000000e+01,1.279719999729422852e+02,1.247300043702125549e+01,1.025992106863935760e+01
1.400000000000000000e+01,1.606140003787004389e+02,1.124099984765052795e+01,1.428823081180543220e+01
