p,-0.13827268363015105,-0.40332568849527667,-0.14126254237211483,-0.34666156151701727,-0.13423035093699048,-0.4239200240277774,-0.095697306813379193,-0.46721558279286868,-0.068699269430360713,-0.53531402835989594,-0.044503238878990894,-0.48691321156577544
H,0.030124317960838125,0,0,0,0,0,0,0,0,0,0,0
H,0,1.3890515816175701,0,0,0,0,0,0,0,0,0,0
H,0,0,0.030114414878471593,0,0,0,0,0,0,0,0,0
H,0,0,0,1.391175966833663,0,0,0,0,0,0,0,0
H,0,0,0,0,0.030117225520067639,0,0,0,0,0,0,0
H,0,0,0,0,0,1.3884716924144449,0,0,0,0,0,0
H,0,0,0,0,0,0,0.030044943293951402,0,0,0,0,0
H,0,0,0,0,0,0,0,1.3860773374862621,0,0,0,0
H,0,0,0,0,0,0,0,0,0.030040142549320099,0,0,0
H,0,0,0,0,0,0,0,0,0,1.38103951785844,0,0
H,0,0,0,0,0,0,0,0,0,0,0.03003369166690778,0
H,0,0,0,0,0,0,0,0,0,0,0,1.3856016116811796
