p,0.021184561156280028,-0.4424314286329315,0.012731080207772763,-0.39387060129115781,0.052640412456863371,-0.36969791658921025,0.010687955453700214,-0.39618694493127005,0.039708878395149985,-0.37090512454523461,0.01256765679807487,-0.39369584950008119
H,0.036220008493057093,0,0,0,0,0,0,0,0,0,0,0
H,0,1.1925656700756955,0,0,0,0,0,0,0,0,0,0
H,0,0,2.8085774607599276,0,0,0,0,0,0,0,0,0
H,0,0,0,10.626017944227542,0,0,0,0,0,0,0,0
H,0,0,0,0,0.036218076678648625,0,0,0,0,0,0,0
H,0,0,0,0,0,1.1977970228364438,0,0,0,0,0,0
H,0,0,0,0,0,0,2.8083250476096322,0,0,0,0,0
H,0,0,0,0,0,0,0,10.62125765587334,0,0,0,0
H,0,0,0,0,0,0,0,0,0.036222060365694426,0,0,0
H,0,0,0,0,0,0,0,0,0,1.1978752873108298,0,0
H,0,0,0,0,0,0,0,0,0,0,2.8085310852946428,0
H,0,0,0,0,0,0,0,0,0,0,0,10.625232435683319
