3.143960936343547785e-01,3.114979168752182170e-01,2.894175364828729946e-01
2.727773473670428994e-01,2.741001006423623432e-01,3.115385564736732893e-01
3.168270275287762283e-01,2.830322311198709695e-01,3.148683156631090774e-01
3.148667363705002775e-01,2.652708401832626905e-01,2.749101228493167626e-01
3.349737843554384531e-01,2.731968675623214216e-01,2.618911357731895651e-01
3.066073050646425102e-01,2.740091024866289082e-01,2.813946163163811853e-01
2.871708940802696897e-01,3.179295479870136165e-01,2.897055508258443157e-01
3.179824350123855448e-01,2.931333476208003441e-01,2.815804614377868664e-01
3.104642671439069024e-01,2.780461155856456812e-01,2.705781181282029269e-01
2.963015186051513594e-01,2.742928964792638036e-01,2.369074460689708228e-01
2.845010755033967609e-01,2.413191310395614020e-01,2.723780850555295729e-01
3.267595576236896338e-01,3.005653088240738402e-01,2.916640029044197391e-01
2.815409632686047270e-01,3.010965478662000483e-01,2.595617340872694578e-01
3.075556864961557224e-01,2.533935483086756646e-01,2.720596963644866251e-01
3.096269316962140250e-01,3.063833369971273313e-01,2.655717338206654010e-01
3.244295143519138058e-01,2.408357435595048501e-01,2.548293415877929124e-01
3.098343413371976163e-01,2.551136992719640895e-01,2.579752805414273209e-01
2.953859472788177287e-01,2.474452494957531112e-01,2.357670243135932264e-01
2.900798528740751170e-01,2.572185212425798784e-01,2.741917217700520215e-01
3.206719164364422170e-01,2.789921079945593130e-01,2.683547632838746422e-01
2.901368871109300529e-01,2.594010136354840679e-01,2.450457263622458082e-01
3.024390964349111255e-01,2.821464172544639326e-01,2.387338271758102648e-01
3.208024509202591079e-01,2.702850246047708294e-01,2.577698275845389797e-01
3.239259446232553574e-01,2.538637374265282354e-01,2.459888832402696013e-01
3.038107171222745873e-01,2.440731101777262879e-01,2.137597861451955017e-01
3.290081679717199448e-01,2.344740505506066330e-01,2.525898354377348332e-01
3.186303439973979246e-01,2.216836688666008470e-01,2.580566456244465789e-01
3.227343237069996151e-01,2.342549131882731839e-01,2.581989469542275151e-01
3.176862420429049649e-01,2.720247368381140118e-01,1.941739184294901666e-01
3.027111919510810933e-01,2.248799839376201537e-01,2.196742652107782079e-01
3.095013851166666385e-01,2.287870495006135152e-01,2.199427581657879271e-01
2.893047483586075885e-01,2.459790487027769812e-01,1.994657092102648244e-01
2.857777269915781626e-01,2.144497748342628074e-01,2.200787864230778212e-01
2.934154925681797255e-01,2.220976540161244683e-01,1.764014348060299053e-01
2.391954113119790226e-01,2.218736015080921553e-01,1.633594251780871309e-01
2.324722742228377825e-01,1.884425303295571841e-01,2.056496812482943026e-01
2.387237031178649771e-01,2.221496168240758851e-01,1.594380114041111796e-01
2.213063722698074276e-01,1.858661890404776640e-01,1.879324125687985569e-01
2.159644155170022117e-01,1.908376626380568208e-01,2.136167227083462239e-01
2.453963140953382416e-01,2.122192568726329887e-01,1.936046553150887750e-01
2.599287387501214575e-01,2.176204659843378464e-01,1.738614138822236477e-01
2.063013962479443020e-01,1.786529559565763481e-01,1.993894799289183950e-01
2.074144693747277390e-01,1.463383186666285529e-01,1.895412572621618386e-01
2.243396809838484052e-01,1.539884939435219868e-01,1.663136905616889594e-01
2.561656469070752173e-01,1.530395768401582313e-01,1.696905697630591847e-01
2.461427900385968481e-01,1.489858075519206460e-01,1.609120176812670056e-01
1.880689144659979939e-01,1.598247944899800210e-01,1.438986176151387519e-01
1.805825189321689783e-01,1.413007851720615160e-01,1.874754877508987561e-01
1.759044684508044576e-01,1.125932924799912388e-01,1.280975765334048666e-01
1.933883436164685610e-01,1.297587965034493473e-01,1.600722418422845794e-01
1.596421026296742096e-01,8.966708952919646980e-02,1.507166290973317169e-01
1.506320789183412390e-01,1.247448085249888566e-01,1.488199764507007195e-01
1.486506910563797357e-01,8.715118945171770881e-02,9.989173549117259798e-02
1.305889218307212940e-01,1.113222071650772360e-01,1.540578910174514038e-01
1.213573996297556551e-01,1.074994155924143824e-01,1.414928974191799471e-01
1.461149824382381446e-01,8.224134470837914102e-02,1.198925644835079907e-01
1.219037324707756831e-01,9.801138616347274124e-02,8.887330922881891970e-02
1.106710374743659492e-01,4.395628801436642086e-02,8.404129916931288302e-02
1.168031781759645976e-01,6.480056128421196604e-02,7.974592625912903243e-02
6.308743724262634578e-02,4.605446175552105337e-02,8.517244690684436237e-02
9.703066242674605879e-02,9.751075984225376914e-02,1.017907179258454031e-01
9.552365307712538944e-02,6.887912100526773218e-02,8.159109903912825645e-02
4.325024005177449671e-02,5.818412340390247128e-02,6.597503589528372347e-02
5.045377536976447530e-02,5.349954219868123528e-02,5.733308873848760867e-02
1.926615383290745942e-02,8.196488970434898103e-02,3.936659363659689853e-02
9.191566572518520412e-03,3.500957476623244025e-02,6.036566534026385766e-02
