7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01
6.978511971282692905e-02,1.458992761791698678e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.978728049386853649e-02,1.459005504635408068e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.980314082000196874e-02,1.459099080477984645e-01,1.444631600000000071e-01,1.469264602054930480e-01
6.956000964420974708e-02,1.688204639169867127e-01,1.674016892041098603e-01,1.713759196619449865e-01,6.956010724518556232e-02,1.688216492640263466e-01,1.674016892041098603e-01,1.713759254469865434e-01,6.954384591941142890e-02,1.688181970267701726e-01,1.674016892041098603e-01,1.713759247059144508e-01
6.957451420623934901e-02,1.919369674777599011e-01,1.908292075973487545e-01,1.965308495444282599e-01,6.959507306028193951e-02,1.919553086488369475e-01,1.908292077130495923e-01,1.965308405726861884e-01,6.956751982375852794e-02,1.919304662852295562e-01,1.908292076982281427e-01,1.965308411296520230e-01
6.963901664074297060e-02,2.152660783007449841e-01,2.147598245882373080e-01,2.224137751122049200e-01,6.967792382133553009e-02,2.153193158820733977e-01,2.147598245245033177e-01,2.224137644615518938e-01,6.966152177332277096e-02,2.152816775050737652e-01,2.147598245208211798e-01,2.224137642106928103e-01
6.969969778924220427e-02,2.387995439439032641e-01,2.392081000904814070e-01,2.490483444224697862e-01,6.975496712815273948e-02,2.389074269052406108e-01,2.392080998137343373e-01,2.490483395724579219e-01,6.975537157845325409e-02,2.388718394630982012e-01,2.392080998050350182e-01,2.490483571106667238e-01
6.978873431314229492e-02,2.625715176525234007e-01,2.641890669789307977e-01,2.764597951738387849e-01,6.983064119047327489e-02,2.627225698193637049e-01,2.641890666051834868e-01,2.764597739439291213e-01,6.982721616177697821e-02,2.626824103250363085e-01,2.641890669472483633e-01,2.764598480341491915e-01
6.988238076446331992e-02,2.865913808141335450e-01,2.897182628824075956e-01,3.046751935262338451e-01,6.987885091395668047e-02,2.867332935639730906e-01,2.897182620840620948e-01,3.046751000091104111e-01,6.989489828043769781e-02,2.867139596381476085e-01,2.897182639079313726e-01,3.046752895210185774e-01
6.994383267168649554e-02,3.108213185878723195e-01,3.158117667529322659e-01,3.337235599914267214e-01,6.995702889281775472e-02,3.109841788649683747e-01,3.158117640842443286e-01,3.337233535530542139e-01,6.997082103386234597e-02,3.109814690424410610e-01,3.158117696983517853e-01,3.337237016095661035e-01
7.001556272609155140e-02,3.352836741034079249e-01,3.424862379527608414e-01,3.636360834711814261e-01,7.004186901921846675e-02,3.354864562955213736e-01,3.424862311553054095e-01,3.636357414950139311e-01,7.005122350199741166e-02,3.354956005215507520e-01,3.424862437305431495e-01,3.636362550972809804e-01
7.009650207505974118e-02,3.599964829489225027e-01,3.697589596221844688e-01,3.944462894835464861e-01,7.012040905921351763e-02,3.602361327834209814e-01,3.697589459852057003e-01,3.944457722649506448e-01,7.014426296454015497e-02,3.602832627749887329e-01,3.697589688324887658e-01,3.944464769019822570e-01
7.017811815906170592e-02,3.849664524946906363e-01,3.976478854118554174e-01,4.261902346844764211e-01,7.021158955836934168e-02,3.852634890334808992e-01,3.976478614305047343e-01,4.261894844539339533e-01,7.020383042788568007e-02,3.852923387265417277e-01,3.976478983705284409e-01,4.261904176710104575e-01
7.022364327288235786e-02,4.101328241722997925e-01,4.261716901055449536e-01,4.589067400383231576e-01,7.025487767421154106e-02,4.104849978752578288e-01,4.261716511195834389e-01,4.589056985717467341e-01,7.025617680584685110e-02,4.105180227159728745e-01,4.261717067239486623e-01,4.589069037993500633e-01
7.031189006168098166e-02,4.355882939583731739e-01,4.553498249063114289e-01,4.926376857603020354e-01,7.031070537585620839e-02,4.359346542948008829e-01,4.553497650910183769e-01,4.926363132008141354e-01,7.033693497468991584e-02,4.360204879116242882e-01,4.553498447999356769e-01,4.926378358776199451e-01
7.037019749809837743e-02,4.612705614583408331e-01,4.852025786215174996e-01,5.274283090582280176e-01,7.040290595518203243e-02,4.616903193180726395e-01,4.852024913550346819e-01,5.274265608626839130e-01,7.040189121418713447e-02,4.617686556012999821e-01,4.852026015174881191e-01,5.274284309742621746e-01
7.043028948662963251e-02,4.871936269254388274e-01,5.157511448026820267e-01,5.633274135132469995e-01,7.044611367887970710e-02,4.876452417766944381e-01,5.157510225722883312e-01,5.633252503857409943e-01,7.047014407445190143e-02,4.877786377816278329e-01,5.157511701369733581e-01,5.633274865724301472e-01
7.048230901887300726e-02,5.133424692148988999e-01,5.470176930729470088e-01,6.003877831496545747e-01,7.054090911932395236e-02,5.139339005002877547e-01,5.470175275800032155e-01,6.003851583671081515e-01,7.054172438772113307e-02,5.140642847176665198e-01,5.470177198684219588e-01,6.003877957460352910e-01
7.055130777003071341e-02,5.397642576053234276e-01,5.790254487359400848e-01,6.386665542653050531e-01,7.060756881602275881e-02,5.404873593773196205e-01,5.790252307473453541e-01,6.386634084480337092e-01,7.060576241820379351e-02,5.406136748108059109e-01,5.790254757833427357e-01,6.386664873680575338e-01
7.062567262861890738e-02,5.664768176941682443e-01,6.117987798212461970e-01,6.782255987239522721e-01,7.067424078814008026e-02,5.673195296046146252e-01,6.117984989163059995e-01,6.782218620558856381e-01,7.067997275493678733e-02,5.674622983992271275e-01,6.117988055307038708e-01,6.782254542916639206e-01
7.069426789354982255e-02,5.934725451244216021e-01,6.453632917957252690e-01,7.191320242896190873e-01,7.073133485585708646e-02,5.944113444343150920e-01,6.453629361574236833e-01,7.191276328439163423e-01,7.072399849694813168e-02,5.945329699896568787e-01,6.453633146165371759e-01,7.191318016180627826e-01
7.073534726010671791e-02,6.206821163088873661e-01,6.797459322815176952e-01,7.614586945916852478e-01,7.077673401348977267e-02,6.217369462285751158e-01,6.797454888143020790e-01,7.614536047982339850e-01,7.078045043903208322e-02,6.218719137538456510e-01,6.797459506488984227e-01,7.614583954362812435e-01
7.080821389759521522e-02,6.482101183304398440e-01,7.149751061733514712e-01,8.052848327403467898e-01,7.084193548347456071e-02,6.493626463796033921e-01,7.149745609102667876e-01,8.052790251461204862e-01,7.085170024970273428e-02,6.495271021254852561e-01,7.149751185576240786e-01,8.052844645020653669e-01
7.086256745123246936e-02,6.760010276229712067e-01,7.510808028281584781e-01,8.506966656477817912e-01,7.088823307495364934e-02,6.772323612053390285e-01,7.510801414131892395e-01,8.506901133044946217e-01,7.091689164596172434e-02,6.774861015429771705e-01,7.510808078476653993e-01,8.506962247488660811e-01
7.090421863060894503e-02,7.040247117528987131e-01,7.880947361411141383e-01,8.977881057662948638e-01,7.094777181507082309e-02,7.053990312484967884e-01,7.880939436792790964e-01,8.977807906101804569e-01,7.096513387370240178e-02,7.057035540605941515e-01,7.880947323426427120e-01,8.977875812119813226e-01
7.095184209945423759e-02,7.323084200508246377e-01,8.260504982564400578e-01,9.466616356195468596e-01,7.101404672609404334e-02,7.338907688171725230e-01,8.260495594914827322e-01,9.466535463741542200e-01,7.102390426941088131e-02,7.342259356404097215e-01,8.260504839668824095e-01,9.466610086888256337e-01
7.101838452615183428e-02,7.609226796042561913e-01,8.649837309688309661e-01,9.974292072379288276e-01,7.107713895923423175e-02,7.627054296547630674e-01,8.649826304189658366e-01,9.974203441408936444e-01,7.109592665545921841e-02,7.631075611827601302e-01,8.649837041406589488e-01,9.974284735564660220e-01
7.105679271674691933e-02,7.897709312809632065e-01,9.049323151135895138e-01,1.050213290056022597e+00,7.113790675386991169e-02,7.918460288357326293e-01,9.049310373017837028e-01,1.050203661058808580e+00,7.113471595055549657e-02,7.922324831996990779e-01,9.049322736117882959e-01,1.050212456244093984e+00
7.111125922896514850e-02,8.189257133893745877e-01,9.459365809147100013e-01,1.105148040311036972e+00,7.119853887673599502e-02,8.213235935008311728e-01,9.459351105229598655e-01,1.105137677520404260e+00,7.117807225367148161e-02,8.216326481768806422e-01,9.459365227366701712e-01,1.105147104828866356e+00
7.115983609943297983e-02,8.483685985386749673e-01,9.880395417209307807e-01,1.162380708851690425e+00,7.124557266270825640e-02,8.510939529487633326e-01,9.880378640733680218e-01,1.162369662237936918e+00,7.122614412302571973e-02,8.513318640950529037e-01,9.880394648332475604e-01,1.162379678159704222e+00
7.121242341886346860e-02,8.781254218560777813e-01,1.031287155897964603e+00,1.222073112275018358e+00,7.127259206739103292e-02,8.810854605977737064e-01,1.031285257318126813e+00,1.222061464699383038e+00,7.130829171874661365e-02,8.814804166436348565e-01,1.031287058396441747e+00,1.222071999826272570e+00
7.127291665128659970e-02,9.082379891718179721e-01,1.075728618143465098e+00,1.284403402790692761e+00,7.134053852571925480e-02,9.114830442983066217e-01,1.075726486612114563e+00,1.284391299427523503e+00,7.135442241285583354e-02,9.119299551611554921e-01,1.075728498392967136e+00,1.284402280980583955e+00
7.131886338052090268e-02,9.386534716692871427e-01,1.121416686199278923e+00,1.349568154252968499e+00,7.139191706154489336e-02,9.422163129949828742e-01,1.121414312600665042e+00,1.349555732420790077e+00,7.140034931652645966e-02,9.426991872048382515e-01,1.121416544012578731e+00,1.349567026920774016e+00
7.137895302336041969e-02,9.694487153886670594e-01,1.168408049284338279e+00,1.417784509390214387e+00,7.142998209961348710e-02,9.732390592070458979e-01,1.168405427249080919e+00,1.417771957591368759e+00,7.145567624390897210e-02,9.738423418802255593e-01,1.168407884550994202e+00,1.417783400073737710e+00
7.143060788562269336e-02,1.000594433981423670e+00,1.216763739472142669e+00,1.489292941340639054e+00,7.148904228120186999e-02,1.004664004590199333e+00,1.216760866400908414e+00,1.489280481398225664e+00,7.149420902980052617e-02,1.005287044205900981e+00,1.216763552552468930e+00,1.489291931561747662e+00
7.147114758977182736e-02,1.032051422740330571e+00,1.266549598298955415e+00,1.564360331251790193e+00,7.153347267678598909e-02,1.036426792169699018e+00,1.266546476028872936e+00,1.564348187520690381e+00,7.155507944614404592e-02,1.037161503888042624e+00,1.266549391183703799e+00,1.564359439337721591e+00
7.154764550011555313e-02,1.064013158739707254e+00,1.317836804923991245e+00,1.643283397401200663e+00,7.157651105101819899e-02,1.068535458863224097e+00,1.317833439779286797e+00,1.643271916661625198e+00,7.160714473842254291e-02,1.069430513463972110e+00,1.317836579970458333e+00,1.643282738575321256e+00
7.160214908216930296e-02,1.096377836159877939e+00,1.370702472872015187e+00,1.726393052296339103e+00,7.163364800050542325e-02,1.101078507551910057e+00,1.370698878112519337e+00,1.726382530297573048e+00,7.163565937865379318e-02,1.101978207348955463e+00,1.370702234741964842e+00,1.726392799914394427e+00
7.164279255414610081e-02,1.129091689073335125e+00,1.425230333917941961e+00,1.814059073385191123e+00,7.166375976135799797e-02,1.133916533757039602e+00,1.425226528718470886e+00,1.814049707970665226e+00,7.168997684685282645e-02,1.134969376920678341e+00,1.425230090740252642e+00,1.814059253794077842e+00
7.169155791668285760e-02,1.162216925254662803e+00,1.481511515385645739e+00,1.906695561817032480e+00,7.171642101889691423e-02,1.167197215160823864e+00,1.481507522877884231e+00,1.906687669254685247e+00,7.172344884265807741e-02,1.168287283934913656e+00,1.481511275816134177e+00,1.906696412532315810e+00
7.173540021226296193e-02,1.195737903903340449e+00,1.539645426621986335e+00,2.004768033636846969e+00,7.175659347579027569e-02,1.200856014807957006e+00,1.539641276262977865e+00,2.004761784276432035e+00,7.174937749045964819e-02,1.201904036082097615e+00,1.539645204066780515e+00,2.004769639767236544e+00
7.175941164794835680e-02,1.229549823658240726e+00,1.599740787294723354e+00,2.108800891250756315e+00,7.178541150169237550e-02,1.234839275294401295e+00,1.599736511948506523e+00,2.108796261883019163e+00,7.179222231810383770e-02,1.235935486540803208e+00,1.599740596862125219e+00,2.108803231649133636e+00
7.178376880224769663e-02,1.263670079369766386e+00,1.661916805119738605e+00,2.219386613006250730e+00,7.181698531680008601e-02,1.269178531700162482e+00,1.661912437186166880e+00,2.219383671416797377e+00,7.183792463755896140e-02,1.270411663611066722e+00,1.661916661495107972e+00,2.219389803156798902e+00
7.184531721503822910e-02,1.298343988952239458e+00,1.726304537379863557e+00,2.337197133446524244e+00,7.186818786102916468e-02,1.304014135687003417e+00,1.726300110614502836e+00,2.337196052293685877e+00,7.186588133905141840e-02,1.305229728220692831e+00,1.726304457558244021e+00,2.337201440032750099e+00
7.188555520811765187e-02,1.333445839274198796e+00,1.793048480048794024e+00,2.462997719549433029e+00,7.191688078075632318e-02,1.339350146454166612e+00,1.793044031660376625e+00,2.462998160653695479e+00,7.190222879958826918e-02,1.340464586654589674e+00,1.793048486358899130e+00,2.463003097673683861e+00
7.191235704791161532e-02,1.368905489059283331e+00,1.862308434439782667e+00,2.597662228942331009e+00,7.195117350662506850e-02,1.375101829701458778e+00,1.862303994873450552e+00,2.597663651384923611e+00,7.194471178111967735e-02,1.376174708920742784e+00,1.862308548312372913e+00,2.597668392706579343e+00
7.192592601125269436e-02,1.404648321434657676e+00,1.934261679018629332e+00,2.742192299873392969e+00,7.198389975122533591e-02,1.411278183114893059e+00,1.934257267901148936e+00,2.742194180712540064e+00,7.197801865837463731e-02,1.412309724105740294e+00,1.934261916166504447e+00,2.742199045344612784e+00
7.195829664983409424e-02,1.440819988630466231e+00,2.009105525016097182e+00,2.897741111566152661e+00,7.201639994585509741e-02,1.447895370520823288e+00,2.009101151515399586e+00,2.897742932356332624e+00,7.201227795847781055e-02,1.448897463400637742e+00,2.009105897073396818e+00,2.897748149903578430e+00
7.201799582943900491e-02,1.477636657158130085e+00,2.087060347247420289e+00,3.065642747757198805e+00,7.204393246879532697e-02,1.484928974391743317e+00,2.087056010162526398e+00,3.065643725025349653e+00,7.204797628807817211e-02,1.485970383565446085e+00,2.087060860071468404e+00,3.065649735778195772e+00
7.205622556490387520e-02,1.514959860404991643e+00,2.168373202202564354e+00,3.247447931832018408e+00,7.207747436706404831e-02,1.522452020125335093e+00,2.168368884663033569e+00,3.247446483793532845e+00,7.206504191686846639e-02,1.523387929066341018e+00,2.168373854787032151e+00,3.247454704177900275e+00
7.208801197953858264e-02,1.552765528916520532e+00,2.253322160839204891e+00,3.444967772019531971e+00,7.211227171048348317e-02,1.560503663962576892e+00,2.253317814338904324e+00,3.444961085788722066e+00,7.210781256964532426e-02,1.561398364936339211e+00,2.253322948870590370e+00,3.444973455002211082e+00
7.210965506343926246e-02,1.590987512060646702e+00,2.342221516279595406e+00,3.660329223247696273e+00,7.213765655721668391e-02,1.599007716153358460e+00,2.342217036054678569e+00,3.660314142648632085e+00,7.212985747479794263e-02,1.599827544319411654e+00,2.342222417970634574e+00,3.660332979980226220e+00
7.214644479642517982e-02,1.629785295870787021e+00,2.435428100744549518e+00,3.896043719184980603e+00,7.216873637646888107e-02,1.638066007592015705e+00,2.435423318907651069e+00,3.896015968956138220e+00,7.215711142181037430e-02,1.638752679214241281e+00,2.435429077570239187e+00,3.896044333877470844e+00
7.217628506644149788e-02,1.669119619813829614e+00,2.533348975128248970e+00,4.155097661536795606e+00,7.219046202259027378e-02,1.677574505503521385e+00,2.533343638286774002e+00,4.155051242643202691e+00,7.218287221673479193e-02,1.678180780413434992e+00,2.533349964247788577e+00,4.155093125970009460e+00
7.220184916124537666e-02,1.708975244629783674e+00,2.636450928358984758e+00,4.441063213410071597e+00,7.221781278815067595e-02,1.717652216837993073e+00,2.636444663139637878e+00,4.440990137803837001e+00,7.221609332632412948e-02,1.718230683853587681e+00,2.636451826767188589e+00,4.441051567024739022e+00
