1.000000000000000000e+00,6.976109998504398391e+02,9.410000000000000586e-01,7.413506905955789534e+02
2.000000000000000000e+00,6.370159999278257601e+02,9.129999999999999227e-01,6.977174150359537634e+02
3.000000000000000000e+00,7.135009996090957429e+02,8.810000000000000053e-01,8.098762765142970466e+02
4.000000000000000000e+00,6.120799998825532384e+02,1.212999999999999856e+00,5.046001647836383199e+02
5.000000000000000000e+00,7.477659996766305994e+02,8.900000000000000133e-01,8.401865164905962047e+02
6.000000000000000000e+00,8.921300000110932160e+02,8.709999999999999964e-01,1.024259471884148297e+03
7.000000000000000000e+00,1.058275000104913488e+03,9.519999999999999574e-01,1.111633403471547808e+03
8.000000000000000000e+00,6.653700002061668783e+02,9.809999999999999831e-01,6.782568809441048643e+02
9.000000000000000000e+00,6.445809999604534823e+02,1.011000000000000121e+00,6.375677546592021372e+02
1.000000000000000000e+01,6.927519998498610221e+02,9.530000000000000693e-01,7.269171037249327583e+02
1.100000000000000000e+01,6.949470002837188076e+02,1.193000000000000060e+00,5.825205367005186190e+02
1.200000000000000000e+01,6.282200001805904321e+02,9.839999999999999858e-01,6.384349595331203773e+02
1.300000000000000000e+01,6.485490002887672745e+02,9.809999999999999831e-01,6.611100920374793759e+02
1.400000000000000000e+01,6.858189999547903426e+02,9.430000000000000604e-01,7.272735948619197188e+02
