7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01
6.977900558520980234e-02,1.457956383074847095e-01,6.980333332066732122e-02,1.458099888590423943e-01,6.980264186937269744e-02,1.458095807265649968e-01,6.981083368821257296e-02,1.458144171504772990e-01,6.981485439997764386e-02,1.458167919661626788e-01,6.978937712508941071e-02,1.458017542229774755e-01,6.978252756173189408e-02,1.457977148474678131e-01,6.977536524384961303e-02,1.457934922870001426e-01,6.980209942516968358e-02,1.458092605582401724e-01,6.979633966364762188e-02,1.458058615819340653e-01,6.979306187234782244e-02,1.458039277572960868e-01,6.980198481036598013e-02,1.458091929101696937e-01
6.953511081969954155e-02,1.685495615401479408e-01,6.955078620999319283e-02,1.685733557388668646e-01,6.955378912280876791e-02,1.685751684005646067e-01,6.953805681300039010e-02,1.685681627125792670e-01,6.955146103580814310e-02,1.685798250291103140e-01,6.954569528930085176e-02,1.685624972301036639e-01,6.953525987630990168e-02,1.685514635023677155e-01,6.955076264508976147e-02,1.685588840383623888e-01,6.956326179842065027e-02,1.685816466676243464e-01,6.954337880328116672e-02,1.685644403431543481e-01,6.955429086630626756e-02,1.685705611343384369e-01,6.955216194976457378e-02,1.685736361228143965e-01
6.957559705963423102e-02,1.914721439310564099e-01,6.959823602487051619e-02,1.915136447213271476e-01,6.960192842393975177e-02,1.915182561208087220e-01,6.954825342428072599e-02,1.914680577666856565e-01,6.956185206772172447e-02,1.914898793057449589e-01,6.956914041147094219e-02,1.914788585372576568e-01,6.958393882113912687e-02,1.914810273933228169e-01,6.956473488942760408e-02,1.914710178851674049e-01,6.957487223570490986e-02,1.915013752205120268e-01,6.956567693724688417e-02,1.914782114416553882e-01,6.958139009921708584e-02,1.914964029834818615e-01,6.958937686668181799e-02,1.915064060383910860e-01
6.964818885928886205e-02,2.145649398066191149e-01,6.966880179999833389e-02,2.146240689048608541e-01,6.966690256173822815e-02,2.146264955101935823e-01,6.965267443163909722e-02,2.145682293839666632e-01,6.961916709705819051e-02,2.145571016110098816e-01,6.964649240823204968e-02,2.145708869249833561e-01,6.964316358863037459e-02,2.145682296386840215e-01,6.966607809112593253e-02,2.145820335668111867e-01,6.965417707961903127e-02,2.146003989015631275e-01,6.964449943676037647e-02,2.145687454233620728e-01,6.963733205201767806e-02,2.145786413997274877e-01,6.965702806407911285e-02,2.146065564757987376e-01
6.973482918197443370e-02,2.378411375246039794e-01,6.972401838388453399e-02,2.378870481096634626e-01,6.975061237383306523e-02,2.379180197414295650e-01,6.972144535656862874e-02,2.378297143619166609e-01,6.972293580142489844e-02,2.378243730197882877e-01,6.971342182568762702e-02,2.378246374673887165e-01,6.973921137306833551e-02,2.378498196297589573e-01,6.975451415629473073e-02,2.378771744582387215e-01,6.974145603353823497e-02,2.378834608076815238e-01,6.970845925577542901e-02,2.378174729967486856e-01,6.970814894706134357e-02,2.378281213312756492e-01,6.972056939936925601e-02,2.378671114074453752e-01
6.982139570282180907e-02,2.613038864645958470e-01,6.981742991573619550e-02,2.613473494190660107e-01,6.983224333748694335e-02,2.613924320330063278e-01,6.978768769045484710e-02,2.612545646882200034e-01,6.981268185992894892e-02,2.612784394357294260e-01,6.979620542054951193e-02,2.612605513815315361e-01,6.980967385236139244e-02,2.612982804519984881e-01,6.982032825899663064e-02,2.613364039050722343e-01,6.982876615853203517e-02,2.613546492471390814e-01,6.979042082764019828e-02,2.612471648877824348e-01,6.978592922373011431e-02,2.612527295517959036e-01,6.979129539355882761e-02,2.612968445158070918e-01
6.987507015955934930e-02,2.849158723935393822e-01,6.987454428224465497e-02,2.849599700197672503e-01,6.990797191425221491e-02,2.850465749753034461e-01,6.986228309416997462e-02,2.848546795616983540e-01,6.987708072539926263e-02,2.848941948665062451e-01,6.986658941135005796e-02,2.848649815426969045e-01,6.988309290676716912e-02,2.849224138718752797e-01,6.990069473857486726e-02,2.849821897319161357e-01,6.989662033253769835e-02,2.849941530850063076e-01,6.987747847727565631e-02,2.848663946299435645e-01,6.986480138153466912e-02,2.848563391571580228e-01,6.986569391676067386e-02,2.849013878923416510e-01
6.995920564265084574e-02,3.087230801938088964e-01,6.995453715721197674e-02,3.087613527342083497e-01,6.995489433224071074e-02,3.088439910925278586e-01,6.992888880176745259e-02,3.086207045013509287e-01,6.997059087782131481e-02,3.087170922155039743e-01,6.996625394005337450e-02,3.086830952537337192e-01,6.996474191128917997e-02,3.087362600785965028e-01,6.998516171293328592e-02,3.088227123753222170e-01,6.996425186109753169e-02,3.088059966281451185e-01,6.996187562488470624e-02,3.086765230852303032e-01,6.996795705751567007e-02,3.086771157165096868e-01,6.995601441529880615e-02,3.087056590961539948e-01
7.003964927356509662e-02,3.327209899519404934e-01,7.003131583385505121e-02,3.327478949715615975e-01,7.002956044535016411e-02,3.328287122263277609e-01,7.001462397398322546e-02,3.325846903818334144e-01,7.003369237783133028e-02,3.327039723293341855e-01,7.002790232452410502e-02,3.326614625505560641e-01,7.003520501829149647e-02,3.327265879570099338e-01,7.003776989181599577e-02,3.328142829176252149e-01,7.001678424183102600e-02,3.327692066844423202e-01,7.003750309587816747e-02,3.326702552953079706e-01,7.004494350900858368e-02,3.326812631496837147e-01,7.002961960601003510e-02,3.326888063995093736e-01
7.009660502723021047e-02,3.568767944946414361e-01,7.011049571659966340e-02,3.569285437122730054e-01,7.009157265521717695e-02,3.569795182356430563e-01,7.009410687996309175e-02,3.567397431967490040e-01,7.009037020736222368e-02,3.568506204941852000e-01,7.010259611649885536e-02,3.568287422138333720e-01,7.010437418562855127e-02,3.568960609028297148e-01,7.012063655983485910e-02,3.570109551864262265e-01,7.009066924511640762e-02,3.569201930352625673e-01,7.009418879546061576e-02,3.568219975279651179e-01,7.010775955910245050e-02,3.568541397838598250e-01,7.009270468555799105e-02,3.568399477081988791e-01
