3.143960936343547785e-01,3.268274861040773582e-01,2.887370720086083198e-01,2.891414658136510774e-01,2.960877717741832171e-01,2.715080788670096168e-01
3.268764094078516758e-01,3.406478131016003053e-01,2.911909876792431184e-01,3.033126506366176089e-01,2.901785452118772479e-01,2.721660243708940441e-01
3.155020019355058158e-01,2.852814859215550003e-01,2.824877190826696194e-01,2.852927505004569375e-01,3.154420187842332246e-01,2.984381129344381711e-01
3.118669630168766638e-01,2.940269834994249099e-01,2.652451194614291463e-01,3.139787380459639343e-01,2.819709918646928215e-01,2.855644269347656916e-01
2.864009835625854206e-01,2.719549415900391343e-01,3.024512494289869347e-01,3.160372605509416677e-01,2.816122287532358826e-01,2.971215006902343525e-01
2.934182978625430316e-01,3.230298784059756345e-01,3.016544863288674327e-01,3.279522387926435689e-01,2.906218160352038726e-01,2.910446430359571734e-01
3.037669171092345355e-01,3.022196194495188060e-01,2.558409098667136505e-01,3.024919681761525370e-01,2.707853446440015022e-01,3.024028023632668316e-01
3.116560576326541931e-01,2.592342146838269024e-01,2.730219150609206613e-01,3.077090605729068673e-01,3.257925680454755168e-01,3.156037105927373410e-01
2.801502912319510097e-01,2.893627534494259135e-01,2.859252685902590740e-01,3.298355200201710802e-01,2.678700397497432162e-01,3.276163578183081126e-01
2.666415340613338958e-01,2.523816641577878994e-01,2.744271007898356762e-01,3.385232379866462415e-01,3.097061638939531125e-01,3.118226381741579512e-01
2.705530433143107372e-01,2.985492093175944328e-01,2.623873525487560032e-01,2.861817434518096892e-01,2.959911816271214580e-01,3.273311329945683412e-01
2.973763117494593877e-01,2.875320371739860104e-01,2.645572334726732366e-01,3.126098036896233223e-01,2.942282431964833855e-01,3.105747627447835724e-01
2.847788255917313438e-01,2.660786340694485941e-01,2.561057154394581481e-01,2.912181394390926381e-01,3.035998631917553037e-01,2.913060174064112662e-01
2.897468767676741885e-01,2.821471427506936358e-01,2.594527167582378890e-01,2.967263447461025994e-01,2.780339082063884582e-01,3.084475860280895265e-01
3.060315026372629199e-01,2.603527800583090301e-01,2.591362786537810270e-01,2.701833283008286957e-01,2.372999612346687048e-01,2.526171235196129072e-01
2.539747346162358754e-01,2.547098654592668820e-01,2.783818411848099639e-01,2.806827744739992525e-01,2.393980268636421438e-01,2.630994028873860358e-01
2.846368820306500735e-01,2.526935001154823612e-01,2.830580252249053075e-01,2.917112061154957248e-01,2.960926408513337438e-01,2.722862719911327556e-01
2.507725941164636319e-01,2.947596195630235449e-01,3.034176862200468894e-01,2.826464640239992887e-01,2.602492046525760050e-01,2.723975750581072997e-01
2.429469573389610448e-01,2.850910005756729371e-01,2.539967029503049090e-01,3.127707716379539149e-01,2.510946278905866191e-01,2.885510804105019811e-01
2.684621215839231301e-01,2.760780217984139528e-01,3.013173265752788765e-01,3.042409180865394691e-01,2.731304650833951686e-01,2.663394684332824891e-01
2.681393368056592674e-01,2.534100984569709891e-01,2.654882059515165094e-01,2.682258156092433565e-01,2.946043071589782292e-01,2.598537008691068628e-01
2.790320410955695052e-01,2.401258325178049491e-01,2.941649710784374760e-01,2.955541241533393149e-01,2.417460482772618713e-01,2.509360345857168384e-01
2.505316238460751355e-01,2.891796834473758238e-01,2.919139628679474630e-01,2.966044265469690577e-01,2.546642893941685193e-01,2.709309848103222951e-01
2.456213892931674303e-01,2.701502812190680891e-01,2.464618335337117605e-01,3.060685829410475511e-01,2.932893104712585020e-01,2.633372989149310728e-01
2.478869606962248173e-01,2.496592323965604598e-01,2.914578928535176972e-01,2.965785627969809712e-01,2.459223499628972465e-01,2.564761682720622105e-01
2.755982368730869325e-01,2.261964968161740974e-01,2.561517969261852268e-01,3.083704146679373537e-01,2.850330313273984895e-01,2.749320960095518740e-01
