p,0.22821732137701264,-0.17481357351250457,0.22757540193802725,-0.17248005086429261,0.25284511271447163,-0.17057185220342916,0.30351447447083896,-0.18653090431456504,0.28798371071768258,-0.17272178953366951,0.24462664689161931,-0.17634233628250723
H,0.035573701554573102,0,0,0,0,0,0,0,0,0,0,0
H,0,0.39875540485941852,0,0,0,0,0,0,0,0,0,0
H,0,0,0.035582014171009674,0,0,0,0,0,0,0,0,0
H,0,0,0,0.3988480899788785,0,0,0,0,0,0,0,0
H,0,0,0,0,0.035570686211429628,0,0,0,0,0,0,0
H,0,0,0,0,0,0.39875163716624135,0,0,0,0,0,0
H,0,0,0,0,0,0,0.035554294642876572,0,0,0,0,0
H,0,0,0,0,0,0,0,0.39808111808115443,0,0,0,0
H,0,0,0,0,0,0,0,0,0.03556930622419284,0,0,0
H,0,0,0,0,0,0,0,0,0,0.39873347435518269,0,0
H,0,0,0,0,0,0,0,0,0,0,0.035570206587670058,0
H,0,0,0,0,0,0,0,0,0,0,0,0.3986047027222463
