5.871080470970735377e-03,1.222431204958953840e-03,1.416676587184911851e-02,-3.947360581187277576e-03,-1.150160878607975334e-03,-9.512447032735118699e-03,-1.416448082454246915e-02,-5.721286105539074782e-03,4.077340953157426728e-03,9.922812420886575197e-04,-2.052593038652222868e-02,-8.535299776972036720e-03,3.300291618823311679e-02
1.025697688625804016e-02,-1.537339026625150415e-03,2.250815734158168047e-02,-1.372999754356049595e-03,-1.051807458993453404e-02,-1.741921199613950810e-02,-1.121881582732731086e-02,6.585738019745362298e-04,6.657189667447216408e-05,9.999188122081902746e-03,-1.720889418703197560e-02,-1.179756817688924070e-02,4.113079743914422465e-02
1.289306368354814492e-02,-1.282254500478908349e-03,-6.977237804952685085e-03,-5.273175270744388451e-03,-1.550100508646995445e-02,-2.395737557204189599e-02,-2.527773771436320205e-02,4.651713457439032862e-03,1.023820085124776957e-02,3.947196703819211283e-03,2.490190227230126840e-03,-7.262518842733394278e-03,4.357234562666733452e-02
5.074732773843071421e-03,-7.193068902795394376e-03,-1.012497329757611197e-02,-6.535982362887833574e-03,-2.241554810088630667e-02,-1.611487635841490906e-02,-1.105143649800771621e-02,5.811976501002603934e-03,-9.422183277441931182e-03,-1.571143802296160602e-03,-3.970738247852489966e-03,-8.418834303612610787e-03,3.631358179448267165e-02
-2.085871979646958252e-02,-2.049043199090619383e-03,-1.779972045374905720e-02,-2.006899558887081936e-03,4.012186042208210068e-03,-1.900145612297777023e-02,-5.132320244398469455e-03,3.858004040933546430e-04,-1.807689670198836529e-02,4.808620868231930356e-04,-2.990416363051306980e-03,-1.737359210648794366e-03,3.876533784318381831e-02
-1.399143067905600502e-02,-5.555354633791531604e-03,1.512274822854281497e-02,7.301924683060581622e-04,1.405955311500367566e-02,-2.185709341124004307e-02,8.545082414939508819e-03,8.733640114012675149e-03,-5.168035001008153273e-03,-8.366582959272138298e-03,-1.292642744459082671e-02,-5.717729603178144104e-03,3.971201979704036544e-02
1.862086594741851897e-03,-1.334019765767695265e-02,1.098821921313841710e-02,6.358358742755435000e-03,-1.272355840590627674e-02,-2.388550927750825170e-02,7.587427586491224396e-04,1.486808541765506642e-03,-2.258239354721591763e-02,-1.270856470003852920e-02,-3.604135160918009451e-03,-8.042336786935951054e-03,4.274262270716373824e-02
1.353053264357528818e-02,-6.361084963303675899e-03,-1.245327491484576887e-02,4.401666655644315140e-03,-2.452349486450566829e-03,-3.227459393632594459e-02,-6.346815872858013741e-04,4.508348267250439356e-03,1.175030984253022659e-02,-2.767671308215244319e-03,-6.034192275919947335e-04,-7.688997064052113806e-03,4.088524763330722567e-02
-5.470420870808179181e-03,-2.054513832158745557e-03,4.313921073064053147e-03,4.302857547117816539e-03,9.228754419108475826e-03,-2.290533906695622901e-02,9.548774619541733344e-03,-3.359116728892851123e-03,-1.153061053530318736e-02,-4.125553914864014959e-03,1.986748032327234625e-02,-1.115094715355195720e-02,3.811290895165986986e-02
-1.449098280166488673e-02,7.325292331086474817e-03,-1.869926382066638970e-02,6.826086217914015264e-03,-2.190574242375120662e-03,-2.942706477965857659e-02,2.489266178002119689e-02,-1.265096088309902028e-02,1.480758696272266306e-02,-4.176677530726771725e-03,1.757316976296668942e-02,-2.040161216656960486e-02,5.720227207872559394e-02
-2.246410338409771112e-02,-1.762629260065318171e-04,9.071403467392435971e-03,1.094752875482241095e-02,-1.727809391748119650e-02,-3.282368127893940668e-02,-6.327138876863036554e-03,-5.158750136863010649e-03,7.012593370667064008e-03,2.643218763597604548e-04,1.853148297699663827e-02,-1.575095209067665925e-02,5.282170399151228657e-02
3.921085284928460535e-03,4.130798630645651781e-03,4.549147168459277690e-03,1.355260888074499848e-03,-1.796661649413539008e-02,-2.556522257671726972e-02,1.409615764460364629e-02,3.374699040660511518e-04,1.330203204579699650e-02,-3.426791893084035756e-03,1.745729898546310999e-02,-1.640873161308219197e-02,4.464141641278537853e-02
8.936871348422636974e-03,1.162316845768533724e-02,-1.823770717326078650e-02,3.301082692677384522e-03,-1.961338143348628771e-02,-2.511672729018770561e-02,-5.602291586823127112e-04,-9.082058545023696805e-03,2.506743399031796660e-02,-1.220482305823401836e-02,1.144847499061912854e-02,-1.799295710720467956e-02,5.374902071052401614e-02
4.639311475240659455e-03,5.421687003214062384e-03,-8.557427659462324421e-03,-1.986014208033529127e-03,-8.328672642424372885e-03,-1.707875436121901458e-02,-5.218679779697477095e-03,-1.506714262284267192e-02,1.479950706410498862e-02,-1.344186118619940251e-02,1.846777593260479078e-02,-2.569348624942220660e-02,4.630678989649234661e-02
1.995702385321301842e-02,1.041448818950385657e-02,-1.554318280806954444e-02,-6.739650432022861737e-03,-1.345632749240827097e-02,-9.144621730588636810e-03,-1.432175837461352463e-02,-1.694641508063454705e-02,-1.103580746283380765e-02,-2.034162536433239965e-02,-1.512737648436063287e-02,-1.913881905301406672e-02,5.178272946789905240e-02
-3.826293460926333267e-03,1.653740260823638453e-02,-1.280658205116452786e-02,-8.270035653306986867e-03,-1.459822232407814724e-03,-6.823792955308757846e-03,-6.611616061768743613e-03,-1.687678592202389305e-02,-2.484875525144422670e-02,-2.730678863762044106e-02,-7.250784292545164877e-03,-1.257434294436488020e-02,4.971490881068572898e-02
1.124504724382230370e-02,2.468912118816880830e-02,-2.128987997182785197e-02,9.005169853895239607e-04,-1.072960416132862083e-03,1.155552960535419227e-03,-3.020101416241538494e-03,-2.493780397710987362e-02,6.532299510326244896e-03,-3.302735351134181152e-02,-5.094614500897265419e-03,-1.538951856124862183e-02,5.674367572157750644e-02
-5.302496229431186148e-03,2.181268716824470710e-02,1.549944375611150837e-02,8.580977103420442398e-03,1.824263841140383313e-02,2.825099396987204581e-03,-3.646681283502872795e-04,-2.240032774577559171e-02,-5.351156356258268687e-03,-2.997040577085020863e-02,7.832188246476023963e-04,-1.909074283665102012e-02,5.433588511781298896e-02
-2.102373092607517924e-02,1.905383281189021449e-02,1.249253004444428328e-02,7.669741825831036253e-03,-1.435571026939302941e-02,6.705494740385398167e-03,1.789044955961782701e-02,-1.659249128665868378e-02,-1.862988406528709451e-02,-3.729140079783292705e-02,2.235640018596790624e-02,-2.154742560656500161e-02,6.758834527012136384e-02
-8.373568902325545515e-03,1.780884658478190663e-02,2.806168181561818908e-03,1.520545584789756433e-03,5.777748662047554884e-03,1.202650538154301230e-02,1.735454265764541093e-02,-9.031503307252289336e-03,-5.932995421480014020e-03,-3.055238092608235367e-02,9.738179401539870383e-03,-2.367658769055853984e-02,5.081620886458346198e-02
-1.030240986667291248e-02,2.573854802633196437e-02,-5.593467998338375047e-03,9.714808964178589523e-03,-1.453438947104163104e-02,1.363892755921275457e-02,-1.271278726341407150e-02,-1.289377918968009906e-02,1.862745710840685298e-02,-3.859137114183308626e-02,-1.743642024873259810e-03,-1.948722924769945297e-02,6.195545739704944044e-02
4.243655530835999112e-03,2.154851467532128972e-02,-1.854291172882491234e-02,1.159478365947402834e-03,-1.080866371869715348e-03,1.444508181650935863e-02,5.661446111600187958e-03,-2.244505280207056974e-02,-1.838856855173220950e-02,-4.831544684841389270e-02,-6.509264333806052960e-04,-2.659726714316468232e-02,7.038147677374356759e-02
-1.810942015484878764e-02,2.569108627855024030e-02,1.794814929226901112e-02,2.722724826425521050e-03,8.224096027673932774e-03,6.192420152747346584e-03,6.626522916100385796e-03,-1.496216812121309303e-02,-2.572001653714717229e-02,-5.585843961881252484e-02,1.859570879733712934e-02,-3.353449094558354215e-02,8.332669683633693591e-02
-1.379381211414210107e-02,3.148854110393670136e-02,2.197212261076258999e-02,-3.186150958353090035e-03,-1.632628206130137816e-02,-2.125893463299277641e-03,1.432624007063609817e-02,-5.953874046893070648e-03,1.502608033854113678e-02,-4.672803537495319459e-02,1.617320894439669421e-02,-4.025796977088669237e-02,8.048632853542588006e-02
-1.456669701384999405e-02,2.529686015141616173e-02,1.714784016221965190e-02,2.254348227281322004e-03,1.946751708613786436e-02,-1.846806113436433305e-03,7.323944813805660647e-03,-8.903619298109261004e-03,-1.834554937077759185e-02,-4.046974998804278578e-02,7.881076611344434157e-03,-3.476586858446856221e-02,7.008349773613092859e-02
1.897475538224058234e-02,1.813873824066625229e-02,-5.801465892426638238e-03,8.446893336962552068e-03,1.028256742965200088e-02,4.077778948562760242e-03,8.428902713869201868e-03,-8.294423688081309365e-03,6.726879546476438598e-04,-4.309070564844291740e-02,2.133117370190512618e-02,-2.813058594227782483e-02,6.449709899696305648e-02
2.263639379647797156e-03,1.771861224073562058e-02,-1.371070211571592812e-02,9.180641354891577732e-03,8.369986651756949891e-03,1.120952468601818519e-02,-5.208886532914125400e-03,-4.616563528817313466e-03,-2.073350371263310565e-02,-4.561351136335764500e-02,6.871294489762258539e-04,-2.701315608701493343e-02,6.384472909250310524e-02
-5.582840192996957329e-03,2.327910936469429481e-02,-3.023769416884147798e-03,8.238674660668215965e-03,1.186116450690877233e-02,8.137371975000390334e-03,1.555287567302965357e-02,-8.767501793898180296e-04,1.255907501370151502e-02,-4.649713009611086689e-02,5.307070931494795030e-04,-2.976930606796932000e-02,6.561916918053448122e-02
-9.806658478038909887e-03,1.757447621805582894e-02,1.127432216071730386e-02,1.624321615309259892e-03,-1.923447903711542062e-02,1.564113228503069553e-02,2.065867061364551338e-02,-8.027062400833812061e-03,2.114745385277416734e-02,-4.270355694133445845e-02,-5.049236984206173506e-03,-2.345749292483081949e-02,6.698629322012614185e-02
