9.186577399732235305e-01,-2.372966529176785688e-02
8.470288944899561079e-01,1.830763264904109455e-01
9.356211700284500221e-01,7.941854297924855199e-02
9.246110426891347434e-01,4.878572569913944279e-02
9.778135455072165527e-01,4.228946461959329217e-02
1.057924791015993238e+00,1.976608553472540553e-01
8.631150370508341441e-01,1.381322073145177520e-01
8.466124653510527232e-01,2.332293584527579677e-01
9.623844664030101193e-01,3.295253895160919488e-01
7.755277803493301203e-01,3.165675559087293145e-01
7.841024475149510620e-01,4.016954242365957661e-01
8.127859785445440410e-01,4.307931447151151505e-01
7.176107197142966854e-01,5.047308461133740431e-01
5.565050870815861916e-01,5.276064598890695123e-01
5.829093172209337537e-01,6.522837974944948325e-01
