p,1.0291827917098999,0.22094610333442688,0.018622957170009613,0.0413069948554039
H,0.051218081265687943,1.0388651050519115e-10,0,0
H,1.1152625351007472e-10,0.051218081265687943,0,0
H,0,0,0.050597507506608963,0
H,0,0,0,0.050597507506608963
H,-0.0014167733024805784,0.031474404036998749,0,0
H,0.031474404036998749,0.0014167730696499348,0,0
H,0,0,0.031247958540916443,0
H,0,0,0,0.031247958540916443
H,0.068522445857524872,0,0,0
H,0,0.068522445857524872,0,0
H,0,0,0.066479921340942383,0
H,0,0,0,0.066479921340942383
