9.186577399732235305e-01,-2.372966529176785688e-02
8.443488339080701399e-01,1.840629113323813126e-01
9.263202643986142570e-01,8.320683172039726461e-02
9.007368595641691567e-01,5.158991959743547406e-02
9.356620961921827684e-01,3.960617469177729610e-02
9.899744037472824054e-01,1.883779005732614253e-01
7.607647930020330351e-01,1.246134070558136964e-01
7.075444843559047792e-01,2.119318658650869713e-01
7.806212356786556006e-01,2.984857304834326874e-01
5.529288606047342292e-01,2.735888302362824431e-01
5.143109345766606610e-01,3.382390631759493727e-01
4.980100459031058246e-01,3.383676928115531002e-01
3.540445133513607789e-01,3.805607766327896435e-01
1.479854694209948307e-01,3.649747125459341657e-01
1.367654041955906064e-01,4.427938739255438128e-01
