1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.340343486739374201e-01,-1.924390625740720132e-02,-5.307532174014278209e-02,-8.971518068721307448e-04
8.843740945284388477e-01,9.104972512381900862e-02,-1.167520819730669540e-01,3.951086863146994338e-02
9.030568513818278964e-01,9.379826561006285313e-02,-1.436270406584213011e-01,2.693435692954362567e-02
8.950066644410920036e-01,7.780317368852585069e-02,-1.834232134674336490e-01,-3.653276085170093640e-03
9.110158847506051316e-01,6.551606958838181172e-02,-1.972373276500022921e-01,-4.111157241843588217e-02
9.505196918654383875e-01,1.522646253066086697e-01,-1.783671312895178662e-01,1.220525967512097604e-02
8.081846386898301482e-01,1.452272071339038018e-01,-3.021147836446141932e-01,-2.725941742963858272e-02
7.263183899425277312e-01,2.037672369229987512e-01,-3.829120395884342276e-01,-1.646468965187257091e-02
7.499623120443454916e-01,2.830801809443732608e-01,-3.207394953537915372e-01,2.155716876198761345e-02
6.049598063703957029e-01,2.958091530116052081e-01,-5.627392068830870953e-01,-7.927475941115946778e-02
5.173935987469390207e-01,3.367912808280218995e-01,-6.127106690065394767e-01,-8.453876452892848670e-02
4.760887834535055818e-01,3.483646393135567121e-01,-4.674418385831020650e-01,-1.804353658270362870e-01
3.651508712168266557e-01,3.784883182550346503e-01,-6.309600102274625089e-01,-1.687081386712543651e-01
1.787570595765881620e-01,3.732795566339167648e-01,-1.025036371158260629e+00,-2.770025106425351158e-01
1.106907865056331319e-01,4.221204370521707272e-01,-7.382108066228981746e-01,-7.945989592440497185e-02
