p,0.70920464761472357,0.17925851399711928,0,0
H,0,0,0.60000000000000009,0
H,0,0,0,0.60000000000000009
H,-0.44189587603774155,-0.049894228503106063,0,0
H,0.049894228503106063,-0.44189587603774155,0,0
H,0.34767766563318619,0.020871792748344348,0,0
H,-0.020871792748344348,0.34767766563318619,0,0
H,-0.25556929205437218,-0.028856192935027107,0,0
H,0.028856192935027107,-0.25556929205437218,0,0
H,0.61291821497849153,0,0,0
H,0,0.61291821497849153,0,0
H,0,0,0.050000000000000003,0
H,0,0,0,0.050000000000000003
