7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01,7.198359253051395124e-02,1.231580000000000036e-01,1.220000000000000112e-01,1.231580000000000036e-01
6.977900558520980234e-02,1.458956711224236868e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.981370885409667049e-02,1.459161480975427749e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.980216792638049839e-02,1.459093338042583843e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.981240237919841829e-02,1.459153764225361860e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.980916203486325911e-02,1.459134628125754451e-01,1.444631600000000071e-01,1.469264602054930480e-01,6.978359320791938103e-02,1.458983760224511761e-01,1.444631600000000071e-01,1.469264602054930480e-01
6.952573547364843121e-02,1.687927370259401927e-01,1.674016892041098603e-01,1.713759254682682143e-01,6.955059626473569789e-02,1.688285103595896508e-01,1.674016892041098603e-01,1.713759331258391527e-01,6.956000461298628146e-02,1.688292697044845858e-01,1.674016892041098603e-01,1.713759327857798942e-01,6.954819034119469334e-02,1.688261102050885865e-01,1.674016892041098603e-01,1.713759347862657545e-01,6.956741456020382186e-02,1.688382033728607068e-01,1.674016892041098603e-01,1.713759258878113922e-01,6.955741018941304088e-02,1.688178103093085081e-01,1.674016892041098603e-01,1.713759162297545935e-01
6.957937865349915485e-02,1.919162714849610152e-01,1.908292077134752240e-01,1.965308321024926697e-01,6.959767616731488138e-02,1.919654325362944447e-01,1.908292078666266323e-01,1.965308329777349927e-01,6.958971973034733249e-02,1.919586064987884033e-01,1.908292078598254615e-01,1.965308330345100218e-01,6.957105189955790914e-02,1.919410335167844039e-01,1.908292078998351793e-01,1.965308315473406342e-01,6.960262213825298139e-02,1.919777183828270950e-01,1.908292077218660676e-01,1.965308432796734339e-01,6.958260316098441312e-02,1.919412689992678056e-01,1.908292075287049416e-01,1.965308438917739431e-01
6.965990431103163960e-02,2.152643309029806107e-01,2.147598243555250697e-01,2.224137751846234912e-01,6.965232883481362047e-02,2.153050004024092412e-01,2.147598245261813088e-01,2.224137365410095435e-01,6.966425442436888216e-02,2.153102852121677180e-01,2.147598245205156464e-01,2.224137364723187404e-01,6.963320490827726306e-02,2.152651331223149889e-01,2.147598245307819897e-01,2.224137248936244593e-01,6.966766279544538143e-02,2.153314617046442891e-01,2.147598245874595135e-01,2.224137520936107226e-01,6.964708217489229414e-02,2.152771660330675130e-01,2.147598244065404005e-01,2.224138023166242761e-01
6.972775613144376050e-02,2.388249027126616297e-01,2.392080998592175378e-01,2.490483577481104605e-01,6.974794840864748102e-02,2.388887493999109768e-01,2.392080992570014830e-01,2.490482663834883981e-01,6.976144994173799629e-02,2.389069950180232882e-01,2.392080992499620029e-01,2.490482898861050010e-01,6.971319496202613153e-02,2.388137235534038838e-01,2.392080990286544750e-01,2.490482552069062661e-01,6.973595170008184407e-02,2.389008218437975173e-01,2.392080996293317052e-01,2.490482894913296497e-01,6.974389627551308424e-02,2.388568303917656954e-01,2.392081004528728849e-01,2.490484155368566654e-01
6.980767337874696499e-02,2.626155573794398124e-01,2.641890670141797681e-01,2.764598282747733338e-01,6.984463251751932278e-02,2.627213306162465289e-01,2.641890645846712293e-01,2.764596726994921205e-01,6.984078787239028641e-02,2.627332843875104795e-01,2.641890650476840796e-01,2.764597408329318440e-01,6.977626997700650535e-02,2.625693296393156184e-01,2.641890641327925837e-01,2.764596813391546060e-01,6.978757724081163794e-02,2.626677817730294628e-01,2.641890654191583199e-01,2.764597092186202865e-01,6.980597282133042814e-02,2.626436696376812652e-01,2.641890687636100354e-01,2.764599242910856791e-01
6.988578363337205612e-02,2.866373709275101822e-01,2.897182635796752281e-01,3.046752230295380337e-01,6.991923201592895043e-02,2.867824619455363599e-01,2.897182580386610806e-01,3.046749626194912852e-01,6.992378018110964599e-02,2.868010712779355265e-01,2.897182598643427420e-01,3.046751190008866739e-01,6.986437111473445261e-02,2.865677180172137017e-01,2.897182577595757147e-01,3.046750634525145496e-01,6.988201129894645869e-02,2.866886102519247137e-01,2.897182596035307589e-01,3.046750551802774321e-01,6.988056226446190400e-02,2.866593596747449846e-01,2.897182672494317823e-01,3.046753711464861292e-01
6.992136148578967370e-02,3.108354819734253094e-01,3.158117680402660055e-01,3.337235458847930825e-01,6.997020003912891861e-02,3.110459419456106378e-01,3.158117572910509319e-01,3.337231346983455804e-01,6.998577455481866383e-02,3.110860875810870785e-01,3.158117622443604722e-01,3.337234571106379444e-01,6.993836670650976917e-02,3.107926816696846006e-01,3.158117590286260157e-01,3.337234644797920091e-01,6.997473753445324074e-02,3.109636922574529616e-01,3.158117607071363464e-01,3.337233892472178942e-01,6.997447793622338374e-02,3.109338319405797191e-01,3.158117746723615449e-01,3.337237930834401900e-01
6.997266468271783058e-02,3.352363585511186073e-01,3.424862389579618749e-01,3.636359847632854025e-01,7.005498447318329880e-02,3.355667335414000974e-01,3.424862199850178812e-01,3.636353686637412430e-01,7.006115710492122339e-02,3.356140450153267119e-01,3.424862313865732477e-01,3.636359199992531543e-01,7.003618042349955830e-02,3.352874632030476421e-01,3.424862283182218969e-01,3.636360331389231204e-01,7.004793775974008097e-02,3.354720456950866514e-01,3.424862284920807132e-01,3.636358647928674692e-01,7.006291387428623119e-02,3.354648861002740845e-01,3.424862505340303676e-01,3.636363677928965976e-01
