n_state,measurement_mode,method,reduction_budget,center_rmse,max_center_error,mean_interval_width,max_interval_width,containment_rate,mean_generators,max_generators,mean_step_time_us,total_time_us
12,all_positions,fixed,12,0.09625272836659832,0.15720894034469327,0.8184616625898604,3.4709963651889906,1.0,12.0,12,284.20879010809585,28420.879010809585
12,all_positions,segment,12,0.09260086493427826,0.15377894292711913,0.8330619748783489,3.5152517676986927,1.0,12.0,12,302.09430002287263,30209.430002287263
12,every_second_position,fixed,12,0.14833792229226295,0.251388932134528,198.98610631904765,2000.0,1.0,12.0,12,200.38647006003885,20038.647006003885
12,every_second_position,segment,12,0.14738485898916007,0.2513710274146473,199.08430457030622,2000.0,1.0,12.0,12,212.9679798235884,21296.79798235884
24,all_positions,fixed,24,0.15706271791521118,0.256671781612634,0.8190955854563964,3.4721320447623856,1.0,24.0,24,471.1618400688167,47116.18400688167
24,all_positions,segment,24,0.15256469311017196,0.2526707524047742,0.8337100229840662,3.5162718603477887,1.0,24.0,24,549.4801999157062,54948.01999157062
24,every_second_position,fixed,24,0.18356424989736478,0.3049880664365959,198.98977985772098,2000.0,1.0,24.0,24,332.61191016208613,33261.19101620861
24,every_second_position,segment,24,0.18191145252579977,0.30474556106598877,199.0877644230369,2000.0,1.0,24.0,24,347.2794798653922,34727.94798653922
