3.143960936343547785e-01,3.268274861040773582e-01,2.887370720086083198e-01,2.891414658136510774e-01,2.960877717741832171e-01,2.715080788670096168e-01
3.268764094078516758e-01,3.406478131016003053e-01,2.911909876792431184e-01,3.033126506366176089e-01,2.901785452118772479e-01,2.721660243708940441e-01
3.155021636466110446e-01,2.852814859215550003e-01,2.824877190826696194e-01,2.852927505004569375e-01,3.154420187842332246e-01,2.984379512690971126e-01
3.118677155405558121e-01,2.940269834994249099e-01,2.652451194614291463e-01,3.139787380459639343e-01,2.819709918646928215e-01,2.855636746265487469e-01
2.864026514891354069e-01,2.719549415932728809e-01,3.024512494289869347e-01,3.160372605509416677e-01,2.816122287500018029e-01,2.971198332327865677e-01
2.934212323321673255e-01,3.230298784275131840e-01,3.016544863288674327e-01,3.279522387926435689e-01,2.906218160136662676e-01,2.910417084991762660e-01
3.037714856671753783e-01,3.022196195228367133e-01,2.558409098667137060e-01,3.024919681761524259e-01,2.707853445706750461e-01,3.023982330114140527e-01
3.116623260270551810e-01,2.592342148679406821e-01,2.730219150609212164e-01,3.077090605729062567e-01,3.257925678613047826e-01,3.155974395839974966e-01
2.801581892393802398e-01,2.893627538364443863e-01,2.859252685902615720e-01,3.298355200201685267e-01,2.678700393626275433e-01,3.276084575205501781e-01
2.666507379976821301e-01,2.523816648744717228e-01,2.744271007898438919e-01,3.385232379866380259e-01,3.097061631771569346e-01,3.118134315290056469e-01
2.705633739465006515e-01,2.985492105241105421e-01,2.623873525487776526e-01,2.861817434517880399e-01,2.959911804203247954e-01,3.273207990843506887e-01
2.973875682364287010e-01,2.875320390578274821e-01,2.645572334727227526e-01,3.126098036895738064e-01,2.942282413126153240e-01,3.105635031083047171e-01
2.847907766307773425e-01,2.660786368419198467e-01,2.561057154395598445e-01,2.912181394389908862e-01,3.035998604198651973e-01,2.912940636072657852e-01
2.897593156909966106e-01,2.821471466422806884e-01,2.594527167584297911e-01,2.967263447459106418e-01,2.780339043158819856e-01,3.084351456637207112e-01
3.060442500866290549e-01,2.603527853145711224e-01,2.591362786541192009e-01,2.701833283004904107e-01,2.372999559798738833e-01,2.526043753102268918e-01
2.539877292311161772e-01,2.547098723365621153e-01,2.783818411853732355e-01,2.806827744734359253e-01,2.393980199862323355e-01,2.630864076875464308e-01
2.846501108255614088e-01,2.526935088800135731e-01,2.830580252258003693e-01,2.917112061146005519e-01,2.960926320859311178e-01,2.722730416632790917e-01
2.507860345948992320e-01,2.947596304839821268e-01,3.034176862214134074e-01,2.826464640226327152e-01,2.602491937298558322e-01,2.723841332146655358e-01
2.429604752183889826e-01,2.850910139315825931e-01,2.539967029523213515e-01,3.127707716359373613e-01,2.510946145327163648e-01,2.885375644223477365e-01
2.684755655032961541e-01,2.760780378716833350e-01,3.013173265781681209e-01,3.042409180836502802e-01,2.731304490084138781e-01,2.663260276525858394e-01
2.681528257294392148e-01,2.534101175285760066e-01,2.654882059555511153e-01,2.682258156052086395e-01,2.946042880839353506e-01,2.598402161543282296e-01
2.790457701882030350e-01,2.401258548739246268e-01,2.941649710839462917e-01,2.955541241478309988e-01,2.417460259157660496e-01,2.509223111432590803e-01
2.505458455635547477e-01,2.891797093730824608e-01,2.919139628753201210e-01,2.966044265395957891e-01,2.546642634576312680e-01,2.709167716135940651e-01
2.456364405487936053e-01,2.701503110026132193e-01,2.464618335434058949e-01,3.060685829313509743e-01,2.932892806769625826e-01,2.633222540659222455e-01
2.479033856476160758e-01,2.496592663379713639e-01,2.914578928660647716e-01,2.965785627844281791e-01,2.459223160015349685e-01,2.564597501048528350e-01
2.756163220394225455e-01,2.261965352406661023e-01,2.561517969421966967e-01,3.083704146519141709e-01,2.850329928801334511e-01,2.749140152943000959e-01
