p,0.99816513061523438,0.33713161945343018,0.048446070402860641,-0.0021446337923407555
H,-0.0070221195928752422,-0.14087031781673431,0.0070221181958913803,0.14104199409484863
H,-0.14087031781673431,0.007022117730230093,0.14104199409484863,-0.007022117730230093
H,0.13980732858181,0.016491014510393143,-0.13963580131530762,-0.016479428857564926
H,-0.016491014510393143,0.13980732858181,0.016479426994919777,-0.13963580131530762
H,-0.0012296546483412385,-0.12669675052165985,0.0012348756426945329,0.12669672071933746
H,-0.12669675052165985,0.0012296540662646294,0.12669672071933746,-0.001234875526279211
H,0.12520936131477356,0.017294244840741158,-0.12520986795425415,-0.0172890555113554
H,-0.017294244840741158,0.12520936131477356,0.0172890555113554,-0.12520985305309296
H,0.31606006622314453,0,0,0
H,0,0.31606009602546692,0,0
H,0,0,0.31602853536605835,0
H,0,0,0,0.31602853536605835
